file,average_score,average_time,solution,nodes,edges
Instances/Set_66_234/p5.2.d.txt,50.0,1.2268116474151611,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (3, 1), (3, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_102_234/p7.4.g.txt,30.0,21.229817986488342,"[[(0, 0), (3, 1), (0, 0)], [(0, 0), (1, 3), (3, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_32_234/p1.2.f.txt,30.0,2.5131255388259888,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (3, 1), (3, 3), (1, 1), (0, 0)]]",17,136
Instances/Set_32_234/p1.2.l.txt,30.0,2.504606246948242,"[[(0, 0), (3, 1), (1, 1), (0, 0)], [(0, 0), (3, 3), (1, 3), (0, 0)]]",17,136
Instances/Set_102_234/p7.2.f.txt,30.0,21.234726905822754,"[[(0, 0), (1, 3), (0, 0)], [(0, 0), (3, 3), (3, 1), (1, 1), (0, 0)]]",17,136
Instances/Set_33_234/p3.4.o.txt,120.0,2.728580117225647,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (10, 18), (11, 14)]]",32,496
Instances/Set_66_234/p5.3.n.txt,50.0,1.148110032081604,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (11, 17), (11, 14)]]",32,496
Instances/Set_32_234/p1.2.m.txt,30.0,2.4729866981506348,"[[(4, 7), (6, 7), (8, 9), (7, 8), (5, 5)], [(4, 7), (5, 8), (4, 8), (3, 9), (5, 6), (6, 5), (5, 5)]]",21,210
Instances/Set_102_234/p7.2.j.txt,30.0,21.150930166244507,"[[(4, 7), (8, 9), (7, 8), (6, 7), (5, 6), (5, 5)], [(4, 7), (5, 8), (4, 8), (3, 9), (6, 5), (5, 5)]]",21,210
Instances/Set_32_234/p1.3.f.txt,30.0,2.507881283760071,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (10, 18), (11, 14)]]",32,496
Instances/Set_21_234/p2.4.h.txt,125.0,1.6521776914596558,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (11, 17), (11, 14)]]",32,496
Instances/Set_64_234/p6.3.e.txt,165.0,3.3170816898345947,"[[(4, 7), (7, 8), (8, 9), (5, 5)], [(4, 7), (4, 8), (3, 9), (5, 8), (6, 7), (5, 6), (6, 5), (5, 5)]]",21,210
Instances/Set_66_234/p5.4.i.txt,50.0,1.1111023426055908,"[[(4, 7), (7, 8), (8, 9), (6, 7), (5, 6), (5, 5)], [(4, 7), (5, 8), (4, 8), (3, 9), (6, 5), (5, 5)]]",21,210
Instances/Set_64_234/p6.4.d.txt,162.0,3.4843838214874268,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (11, 17), (11, 14)]]",32,496
Instances/Set_66_234/p5.2.s.txt,50.0,1.1316176652908325,"[[(10, 14), (8, 13), (11, 12), (11, 14)], [(10, 14), (8, 17), (10, 18), (11, 14)]]",32,496
